"","LSOA11CD","BodyType","Keepership","LicenceStatus","2024 Q4"
"104","95DD07S1","Cars","Total","Licensed","940"
"105","95DD07S2","Cars","Total","Licensed","1224"
"106","95DD08W1","Cars","Total","Licensed","758"
"107","95DD09W1","Cars","Total","Licensed","1842"
"108","95DD10W1","Cars","Total","Licensed","1605"
"109","95DD11W1","Cars","Total","Licensed","946"
"110","95DD12W1","Cars","Total","Licensed","1783"
"111","95DD13W1","Cars","Total","Licensed","906"
"112","95DD14S1","Cars","Total","Licensed","1130"
"113","95DD14S2","Cars","Total","Licensed","1202"
"114","95DD15W1","Cars","Total","Licensed","2239"
"115","95DD16W1","Cars","Total","Licensed","2207"
"116","95DD17W1","Cars","Total","Licensed","2383"
"117","95DD18W1","Cars","Total","Licensed","947"
"118","95DD19S1","Cars","Total","Licensed","1158"
"119","95DD19S2","Cars","Total","Licensed","1037"
"120","95DD20W1","Cars","Total","Licensed","649"
"121","95DD21W1","Cars","Total","Licensed","1127"
"122","95DD22S1","Cars","Total","Licensed","1032"
"123","95DD22S2","Cars","Total","Licensed","922"
"124","95DD23W1","Cars","Total","Licensed","1926"
"125","95DD24W1","Cars","Total","Licensed","1465"
"126","95EE01W1","Cars","Total","Licensed","1064"
"127","95EE02W1","Cars","Total","Licensed","1247"
"128","95EE03W1","Cars","Total","Licensed","1141"
"129","95EE04W1","Cars","Total","Licensed","1141"
"130","95EE05W1","Cars","Total","Licensed","1200"
"131","95EE06W1","Cars","Total","Licensed","1307"
"132","95EE07W1","Cars","Total","Licensed","993"
"133","95EE08W1","Cars","Total","Licensed","979"
"134","95EE09W1","Cars","Total","Licensed","1108"
"135","95EE10W1","Cars","Total","Licensed","943"
"136","95EE11W1","Cars","Total","Licensed","1100"
"137","95EE12W1","Cars","Total","Licensed","1205"
"138","95EE13W1","Cars","Total","Licensed","791"
"139","95EE14W1","Cars","Total","Licensed","1831"
"140","95EE15W1","Cars","Total","Licensed","1096"
"141","95EE16W1","Cars","Total","Licensed","1373"
"142","95FF01S1","Cars","Total","Licensed","1330"
"143","95FF01S2","Cars","Total","Licensed","1879"
"144","95FF02W1","Cars","Total","Licensed","1915"
"145","95FF03W1","Cars","Total","Licensed","1685"
"146","95FF04W1","Cars","Total","Licensed","1929"
"147","95FF05W1","Cars","Total","Licensed","1510"
"148","95FF06S1","Cars","Total","Licensed","1134"
"149","95FF06S2","Cars","Total","Licensed","1390"
"150","95FF07W1","Cars","Total","Licensed","1246"
"151","95FF08W1","Cars","Total","Licensed","1233"
"152","95FF09W1","Cars","Total","Licensed","1591"
"153","95FF10W1","Cars","Total","Licensed","2403"
"154","95FF11W1","Cars","Total","Licensed","1953"
"155","95FF12W1","Cars","Total","Licensed","1730"
"156","95FF13W1","Cars","Total","Licensed","1844"
"157","95FF14W1","Cars","Total","Licensed","2071"
"158","95FF15W1","Cars","Total","Licensed","1538"
"159","95FF16W1","Cars","Total","Licensed","1476"
"160","95FF17W1","Cars","Total","Licensed","879"
"161","95GG01S1","Cars","Total","Licensed","735"
"162","95GG01S2","Cars","Total","Licensed","595"
"163","95GG01S3","Cars","Total","Licensed","654"
"164","95GG02S1","Cars","Total","Licensed","503"
"165","95GG02S2","Cars","Total","Licensed","507"
"166","95GG02S3","Cars","Total","Licensed","587"
"167","95GG03S1","Cars","Total","Licensed","956"
"168","95GG03S2","Cars","Total","Licensed","913"
"169","95GG03S3","Cars","Total","Licensed","860"
"170","95GG04S1","Cars","Total","Licensed","971"
"171","95GG04S2","Cars","Total","Licensed","455"
"172","95GG04S3","Cars","Total","Licensed","494"
"173","95GG05S1","Cars","Total","Licensed","591"
"174","95GG05S2","Cars","Total","Licensed","685"
"175","95GG05S3","Cars","Total","Licensed","568"
"176","95GG06S1","Cars","Total","Licensed","765"
"177","95GG06S2","Cars","Total","Licensed","684"
"178","95GG06S3","Cars","Total","Licensed","908"
"179","95GG07S1","Cars","Total","Licensed","533"
"180","95GG07S2","Cars","Total","Licensed","479"
"181","95GG07S3","Cars","Total","Licensed","517"
"182","95GG08S1","Cars","Total","Licensed","780"
"183","95GG08S2","Cars","Total","Licensed","740"
"184","95GG08S3","Cars","Total","Licensed","877"
"185","95GG09S1","Cars","Total","Licensed","1222"
"186","95GG09S2","Cars","Total","Licensed","977"
"187","95GG09S3","Cars","Total","Licensed","931"
"188","95GG10S1","Cars","Total","Licensed","4690"
"189","95GG10S2","Cars","Total","Licensed","649"
"190","95GG11S1","Cars","Total","Licensed","679"
"191","95GG11S2","Cars","Total","Licensed","768"
"192","95GG11S3","Cars","Total","Licensed","619"
"193","95GG12S1","Cars","Total","Licensed","332"
"194","95GG12S2","Cars","Total","Licensed","170"
"195","95GG12S3","Cars","Total","Licensed","205"
"196","95GG12S4","Cars","Total","Licensed","397"
"197","95GG12S5","Cars","Total","Licensed","521"
"198","95GG13S1","Cars","Total","Licensed","542"
"199","95GG13S2","Cars","Total","Licensed","897"
"200","95GG13S3","Cars","Total","Licensed","764"
"201","95GG14S1","Cars","Total","Licensed","875"
"202","95GG14S2","Cars","Total","Licensed","852"
"203","95GG14S3","Cars","Total","Licensed","927"
"204","95GG15S1","Cars","Total","Licensed","1097"
"205","95GG15S2","Cars","Total","Licensed","1109"
"206","95GG15S3","Cars","Total","Licensed","992"
"207","95GG16S1","Cars","Total","Licensed","766"
"208","95GG16S2","Cars","Total","Licensed","795"
"209","95GG16S3","Cars","Total","Licensed","694"
"210","95GG17S1","Cars","Total","Licensed","767"
"211","95GG17S2","Cars","Total","Licensed","682"
"212","95GG17S3","Cars","Total","Licensed","679"
"213","95GG18S1","Cars","Total","Licensed","648"
"214","95GG18S2","Cars","Total","Licensed","622"
"215","95GG19S1","Cars","Total","Licensed","598"
"216","95GG19S2","Cars","Total","Licensed","857"
"217","95GG20S1","Cars","Total","Licensed","1155"
"218","95GG20S2","Cars","Total","Licensed","698"
"219","95GG21S1","Cars","Total","Licensed","357"
"220","95GG21S2","Cars","Total","Licensed","382"
"221","95GG21S3","Cars","Total","Licensed","499"
"222","95GG22S1","Cars","Total","Licensed","683"
"223","95GG22S2","Cars","Total","Licensed","737"
"224","95GG22S3","Cars","Total","Licensed","669"
"225","95GG23S1","Cars","Total","Licensed","754"
"226","95GG23S2","Cars","Total","Licensed","810"
"227","95GG23S3","Cars","Total","Licensed","807"
"228","95GG24S1","Cars","Total","Licensed","560"
"229","95GG24S2","Cars","Total","Licensed","588"
"230","95GG24S3","Cars","Total","Licensed","708"
"231","95GG25S1","Cars","Total","Licensed","919"
"232","95GG25S2","Cars","Total","Licensed","874"
"233","95GG25S3","Cars","Total","Licensed","566"
"234","95GG26S1","Cars","Total","Licensed","592"
"235","95GG26S2","Cars","Total","Licensed","728"
"236","95GG27S1","Cars","Total","Licensed","756"
"237","95GG27S2","Cars","Total","Licensed","674"
"238","95GG27S3","Cars","Total","Licensed","550"
"239","95GG27S4","Cars","Total","Licensed","545"
"240","95GG28S1","Cars","Total","Licensed","1202"
"241","95GG28S2","Cars","Total","Licensed","780"
"242","95GG28S3","Cars","Total","Licensed","547"
"243","95GG29S1","Cars","Total","Licensed","993"
"244","95GG29S2","Cars","Total","Licensed","1087"
"245","95GG30S1","Cars","Total","Licensed","1009"
"246","95GG30S2","Cars","Total","Licensed","926"
"247","95GG30S3","Cars","Total","Licensed","784"
"248","95GG31S1","Cars","Total","Licensed","1102"
"249","95GG31S2","Cars","Total","Licensed","835"
"250","95GG31S3","Cars","Total","Licensed","728"
"251","95GG32S1","Cars","Total","Licensed","1645"
"252","95GG32S2","Cars","Total","Licensed","591"
"253","95GG32S3","Cars","Total","Licensed","702"
"254","95GG33S1","Cars","Total","Licensed","1248"
"255","95GG33S2","Cars","Total","Licensed","918"
"256","95GG33S3","Cars","Total","Licensed","948"
"257","95GG34S1","Cars","Total","Licensed","638"
"258","95GG34S2","Cars","Total","Licensed","861"
"259","95GG34S3","Cars","Total","Licensed","1366"
"260","95GG35S1","Cars","Total","Licensed","538"
"261","95GG35S2","Cars","Total","Licensed","364"
"262","95GG35S3","Cars","Total","Licensed","298"
"263","95GG36S1","Cars","Total","Licensed","816"
"264","95GG36S2","Cars","Total","Licensed","1054"
"265","95GG36S3","Cars","Total","Licensed","971"
"266","95GG37S1","Cars","Total","Licensed","972"
"267","95GG37S2","Cars","Total","Licensed","733"
"268","95GG37S3","Cars","Total","Licensed","857"
"269","95GG38S1","Cars","Total","Licensed","1487"
"270","95GG38S2","Cars","Total","Licensed","805"
"271","95GG38S3","Cars","Total","Licensed","803"
"272","95GG39S1","Cars","Total","Licensed","1163"
"273","95GG39S2","Cars","Total","Licensed","2817"
"274","95GG39S3","Cars","Total","Licensed","545"
"275","95GG40S1","Cars","Total","Licensed","618"
"276","95GG40S2","Cars","Total","Licensed","705"
"277","95GG41S1","Cars","Total","Licensed","1274"
"278","95GG41S2","Cars","Total","Licensed","1116"
"279","95GG41S3","Cars","Total","Licensed","1038"
"280","95GG42S1","Cars","Total","Licensed","1120"
"281","95GG42S2","Cars","Total","Licensed","269"
"282","95GG42S3","Cars","Total","Licensed","542"
"283","95GG42S4","Cars","Total","Licensed","975"
"284","95GG43S1","Cars","Total","Licensed","732"
"285","95GG43S2","Cars","Total","Licensed","721"
"286","95GG43S3","Cars","Total","Licensed","649"
"287","95GG44S1","Cars","Total","Licensed","4886"
"288","95GG44S2","Cars","Total","Licensed","790"
"289","95GG45S1","Cars","Total","Licensed","1176"
"290","95GG45S2","Cars","Total","Licensed","544"
"291","95GG45S3","Cars","Total","Licensed","821"
"292","95GG46S1","Cars","Total","Licensed","610"
"293","95GG46S2","Cars","Total","Licensed","632"
"294","95GG46S3","Cars","Total","Licensed","423"
"295","95GG47S1","Cars","Total","Licensed","700"
"296","95GG47S2","Cars","Total","Licensed","532"
"297","95GG47S3","Cars","Total","Licensed","600"
"298","95GG48S1","Cars","Total","Licensed","420"
"299","95GG48S2","Cars","Total","Licensed","683"
"300","95GG48S3","Cars","Total","Licensed","555"
"301","95GG49S1","Cars","Total","Licensed","527"
"302","95GG49S2","Cars","Total","Licensed","406"
"303","95GG49S3","Cars","Total","Licensed","355"
"304","95GG49S4","Cars","Total","Licensed","318"
"305","95GG50S1","Cars","Total","Licensed","541"
"306","95GG50S2","Cars","Total","Licensed","568"
"307","95GG50S3","Cars","Total","Licensed","521"
"308","95GG51S1","Cars","Total","Licensed","428"
"309","95GG51S2","Cars","Total","Licensed","386"
"310","95GG51S3","Cars","Total","Licensed","412"
"311","95HH01W1","Cars","Total","Licensed","1005"
"312","95HH02S1","Cars","Total","Licensed","767"
"313","95HH02S2","Cars","Total","Licensed","1226"
"314","95HH03W1","Cars","Total","Licensed","957"
"315","95HH04S1","Cars","Total","Licensed","1105"
"316","95HH04S2","Cars","Total","Licensed","804"
"317","95HH05W1","Cars","Total","Licensed","874"
"318","95HH06S1","Cars","Total","Licensed","1511"
"319","95HH06S2","Cars","Total","Licensed","1575"
"320","95HH07W1","Cars","Total","Licensed","674"
"321","95HH08W1","Cars","Total","Licensed","4687"
"322","95HH09W1","Cars","Total","Licensed","1275"
"323","95HH10W1","Cars","Total","Licensed","1726"
"324","95HH11W1","Cars","Total","Licensed","589"
"325","95HH12W1","Cars","Total","Licensed","809"
"326","95HH13W1","Cars","Total","Licensed","583"
"327","95HH14W1","Cars","Total","Licensed","596"
"328","95HH15W1","Cars","Total","Licensed","1319"
"329","95HH16W1","Cars","Total","Licensed","1105"
"330","95HH17W1","Cars","Total","Licensed","1409"
"331","95II01S1","Cars","Total","Licensed","1033"
"332","95II01S2","Cars","Total","Licensed","1078"
"333","95II02S1","Cars","Total","Licensed","952"
"334","95II02S2","Cars","Total","Licensed","954"
"335","95II02S3","Cars","Total","Licensed","741"
"336","95II03S1","Cars","Total","Licensed","1346"
"337","95II03S2","Cars","Total","Licensed","976"
"338","95II04S1","Cars","Total","Licensed","2819"
"339","95II04S2","Cars","Total","Licensed","1027"
"340","95II05S1","Cars","Total","Licensed","1034"
"341","95II05S2","Cars","Total","Licensed","1322"
"342","95II06S1","Cars","Total","Licensed","995"
"343","95II06S2","Cars","Total","Licensed","1113"
"344","95II07W1","Cars","Total","Licensed","764"
"345","95II08W1","Cars","Total","Licensed","1278"
"346","95II09S1","Cars","Total","Licensed","1174"
"347","95II09S2","Cars","Total","Licensed","769"
"348","95II10W1","Cars","Total","Licensed","1158"
"349","95II11W1","Cars","Total","Licensed","1371"
"350","95II12W1","Cars","Total","Licensed","1487"
"351","95II13W1","Cars","Total","Licensed","1212"
"352","95II14W1","Cars","Total","Licensed","1439"
"353","95II15S1","Cars","Total","Licensed","1017"
"354","95II15S2","Cars","Total","Licensed","882"
"355","95II16W1","Cars","Total","Licensed","1121"
"356","95II17W1","Cars","Total","Licensed","1372"
"357","95II18W1","Cars","Total","Licensed","1103"
"358","95II19S1","Cars","Total","Licensed","1229"
"359","95II19S2","Cars","Total","Licensed","1456"
"360","95II20W1","Cars","Total","Licensed","1417"
"361","95II21W1","Cars","Total","Licensed","974"
"362","95II22W1","Cars","Total","Licensed","1369"
"363","95II23W1","Cars","Total","Licensed","1096"
"364","95JJ01W1","Cars","Total","Licensed","1691"
"365","95JJ02W1","Cars","Total","Licensed","1258"
"366","95JJ03S1","Cars","Total","Licensed","524"
"367","95JJ03S2","Cars","Total","Licensed","455"
"368","95JJ04S1","Cars","Total","Licensed","845"
"369","95JJ04S2","Cars","Total","Licensed","948"
"370","95JJ05W1","Cars","Total","Licensed","770"
"371","95JJ06W1","Cars","Total","Licensed","1053"
"372","95JJ07W1","Cars","Total","Licensed","1262"
"373","95JJ08S1","Cars","Total","Licensed","855"
"374","95JJ08S2","Cars","Total","Licensed","1054"
"375","95JJ09W1","Cars","Total","Licensed","1222"
"376","95JJ10W1","Cars","Total","Licensed","1766"
"377","95JJ11S1","Cars","Total","Licensed","888"
"378","95JJ11S2","Cars","Total","Licensed","1123"
"379","95JJ12W1","Cars","Total","Licensed","1579"
"380","95JJ13S1","Cars","Total","Licensed","1313"
"381","95JJ13S2","Cars","Total","Licensed","955"
"382","95JJ14W1","Cars","Total","Licensed","1543"
"383","95JJ15W1","Cars","Total","Licensed","895"
"384","95JJ16W1","Cars","Total","Licensed","632"
"385","95JJ17W1","Cars","Total","Licensed","1497"
"386","95JJ18W1","Cars","Total","Licensed","858"
"387","95JJ19S1","Cars","Total","Licensed","835"
"388","95JJ19S2","Cars","Total","Licensed","551"
"389","95JJ20S1","Cars","Total","Licensed","1556"
"390","95JJ20S2","Cars","Total","Licensed","1031"
"391","95JJ21W1","Cars","Total","Licensed","1026"
"392","95JJ22W1","Cars","Total","Licensed","1619"
"393","95KK01W1","Cars","Total","Licensed","1652"
"394","95KK02W1","Cars","Total","Licensed","1236"
"395","95KK03W1","Cars","Total","Licensed","1424"
"396","95KK04W1","Cars","Total","Licensed","1355"
"397","95KK05W1","Cars","Total","Licensed","1638"
"398","95KK06W1","Cars","Total","Licensed","1064"
"399","95KK07W1","Cars","Total","Licensed","1470"
"400","95KK08W1","Cars","Total","Licensed","1669"
"401","95KK09W1","Cars","Total","Licensed","1247"
"402","95KK10W1","Cars","Total","Licensed","1431"
"403","95KK11W1","Cars","Total","Licensed","1334"
"404","95KK12W1","Cars","Total","Licensed","1384"
"405","95KK13W1","Cars","Total","Licensed","1141"
"406","95KK14W1","Cars","Total","Licensed","1250"
"407","95KK15W1","Cars","Total","Licensed","1864"
"408","95KK16W1","Cars","Total","Licensed","1116"
"409","95LL01S1","Cars","Total","Licensed","1615"
"410","95LL01S2","Cars","Total","Licensed","1685"
"411","95LL02S1","Cars","Total","Licensed","1328"
"412","95LL02S2","Cars","Total","Licensed","546"
"413","95LL03W1","Cars","Total","Licensed","1382"
"414","95LL04W1","Cars","Total","Licensed","1627"
"415","95LL05S1","Cars","Total","Licensed","1737"
"416","95LL05S2","Cars","Total","Licensed","1234"
"417","95LL06S1","Cars","Total","Licensed","1079"
"418","95LL06S2","Cars","Total","Licensed","860"
"419","95LL07W1","Cars","Total","Licensed","1021"
"420","95LL08S1","Cars","Total","Licensed","705"
"421","95LL08S2","Cars","Total","Licensed","596"
"422","95LL09S1","Cars","Total","Licensed","544"
"423","95LL09S2","Cars","Total","Licensed","611"
"424","95LL10S1","Cars","Total","Licensed","2025"
"425","95LL10S2","Cars","Total","Licensed","1594"
"426","95LL11S1","Cars","Total","Licensed","1022"
"427","95LL11S2","Cars","Total","Licensed","1758"
"428","95LL12S1","Cars","Total","Licensed","1630"
"429","95LL12S2","Cars","Total","Licensed","441"
"430","95LL13S1","Cars","Total","Licensed","678"
"431","95LL13S2","Cars","Total","Licensed","590"
"432","95LL14S1","Cars","Total","Licensed","476"
"433","95LL14S2","Cars","Total","Licensed","593"
"434","95LL15S1","Cars","Total","Licensed","913"
"435","95LL15S2","Cars","Total","Licensed","838"
"436","95LL16S1","Cars","Total","Licensed","2157"
"437","95LL16S2","Cars","Total","Licensed","2840"
"438","95LL17W1","Cars","Total","Licensed","1508"
"439","95LL18S1","Cars","Total","Licensed","1235"
"440","95LL18S2","Cars","Total","Licensed","1020"
"441","95LL19S1","Cars","Total","Licensed","1618"
"442","95LL19S2","Cars","Total","Licensed","2340"
"443","95LL20W1","Cars","Total","Licensed","1249"
"444","95LL21W1","Cars","Total","Licensed","2217"
"445","95LL22W1","Cars","Total","Licensed","1747"
"446","95LL23W1","Cars","Total","Licensed","938"
"447","95LL24S1","Cars","Total","Licensed","1500"
"448","95LL24S2","Cars","Total","Licensed","1165"
"449","95LL25S1","Cars","Total","Licensed","1932"
"450","95LL25S2","Cars","Total","Licensed","1186"
"451","95LL26S1","Cars","Total","Licensed","546"
"452","95LL26S2","Cars","Total","Licensed","1235"
"453","95MM01S1","Cars","Total","Licensed","632"
"454","95MM01S2","Cars","Total","Licensed","997"
"455","95MM01S3","Cars","Total","Licensed","1026"
"456","95MM02S1","Cars","Total","Licensed","940"
"457","95MM02S2","Cars","Total","Licensed","1019"
"458","95MM03W1","Cars","Total","Licensed","2049"
"459","95MM04W1","Cars","Total","Licensed","875"
"460","95MM05W1","Cars","Total","Licensed","816"
"461","95MM06S1","Cars","Total","Licensed","588"
"462","95MM06S2","Cars","Total","Licensed","519"
"463","95MM07W1","Cars","Total","Licensed","1318"
"464","95MM08S1","Cars","Total","Licensed","605"
"465","95MM08S2","Cars","Total","Licensed","933"
"466","95MM09S1","Cars","Total","Licensed","900"
"467","95MM09S2","Cars","Total","Licensed","1272"
"468","95MM10S1","Cars","Total","Licensed","486"
"469","95MM10S2","Cars","Total","Licensed","559"
"470","95MM11W1","Cars","Total","Licensed","1035"
"471","95MM12S1","Cars","Total","Licensed","1196"
"472","95MM12S2","Cars","Total","Licensed","474"
"473","95MM12S3","Cars","Total","Licensed","1069"
"474","95MM13S1","Cars","Total","Licensed","1110"
"475","95MM13S2","Cars","Total","Licensed","553"
"476","95MM13S3","Cars","Total","Licensed","613"
"477","95MM13S4","Cars","Total","Licensed","1649"
"478","95MM13S5","Cars","Total","Licensed","1219"
"479","95MM14S1","Cars","Total","Licensed","397"
"480","95MM14S2","Cars","Total","Licensed","626"
"481","95MM15S1","Cars","Total","Licensed","1309"
"482","95MM15S2","Cars","Total","Licensed","1638"
"483","95MM16S1","Cars","Total","Licensed","1245"
"484","95MM16S2","Cars","Total","Licensed","2376"
"485","95MM17S1","Cars","Total","Licensed","1115"
"486","95MM17S2","Cars","Total","Licensed","841"
"487","95MM18S1","Cars","Total","Licensed","1611"
"488","95MM18S2","Cars","Total","Licensed","2044"
"489","95MM19S1","Cars","Total","Licensed","859"
"490","95MM19S2","Cars","Total","Licensed","827"
"491","95MM20S1","Cars","Total","Licensed","778"
"492","95MM20S2","Cars","Total","Licensed","786"
"493","95MM21S1","Cars","Total","Licensed","849"
"494","95MM21S2","Cars","Total","Licensed","1090"
"495","95MM22S1","Cars","Total","Licensed","759"
"496","95MM22S2","Cars","Total","Licensed","696"
"497","95MM23W1","Cars","Total","Licensed","924"
"498","95MM24W1","Cars","Total","Licensed","1116"
"499","95MM25S1","Cars","Total","Licensed","453"
"500","95MM25S2","Cars","Total","Licensed","490"
"501","95MM25S3","Cars","Total","Licensed","1299"
"502","95MM25S4","Cars","Total","Licensed","1340"
"503","95MM26S1","Cars","Total","Licensed","730"
"504","95MM26S2","Cars","Total","Licensed","899"
"505","95MM27S1","Cars","Total","Licensed","698"
"506","95MM27S2","Cars","Total","Licensed","497"
"507","95MM28W1","Cars","Total","Licensed","816"
"508","95MM29W1","Cars","Total","Licensed","1472"
"509","95MM30W1","Cars","Total","Licensed","842"
"510","95NN01S1","Cars","Total","Licensed","740"
"511","95NN01S2","Cars","Total","Licensed","1051"
"512","95NN02W1","Cars","Total","Licensed","1307"
"513","95NN03S1","Cars","Total","Licensed","768"
"514","95NN03S2","Cars","Total","Licensed","845"
"515","95NN04W1","Cars","Total","Licensed","1245"
"516","95NN05W1","Cars","Total","Licensed","1381"
"517","95NN06S1","Cars","Total","Licensed","651"
"518","95NN06S2","Cars","Total","Licensed","1176"
"519","95NN07S1","Cars","Total","Licensed","885"
"520","95NN07S2","Cars","Total","Licensed","678"
"521","95NN08S1","Cars","Total","Licensed","937"
"522","95NN08S2","Cars","Total","Licensed","1181"
"523","95NN09S1","Cars","Total","Licensed","1199"
"524","95NN09S2","Cars","Total","Licensed","974"
"525","95NN10S1","Cars","Total","Licensed","732"
"526","95NN10S2","Cars","Total","Licensed","897"
"527","95NN11S1","Cars","Total","Licensed","953"
"528","95NN11S2","Cars","Total","Licensed","1497"
"529","95NN12W1","Cars","Total","Licensed","1676"
"530","95NN13W1","Cars","Total","Licensed","2111"
"531","95NN14S1","Cars","Total","Licensed","1079"
"532","95NN14S2","Cars","Total","Licensed","746"
"533","95NN15W1","Cars","Total","Licensed","1522"
"534","95NN16S1","Cars","Total","Licensed","1204"
"535","95NN16S2","Cars","Total","Licensed","1095"
"536","95NN17W1","Cars","Total","Licensed","1358"
"537","95NN18S1","Cars","Total","Licensed","607"
"538","95NN18S2","Cars","Total","Licensed","1088"
"539","95NN19S1","Cars","Total","Licensed","1001"
"540","95NN19S2","Cars","Total","Licensed","1313"
"541","95NN20W1","Cars","Total","Licensed","2226"
"542","95NN21W1","Cars","Total","Licensed","1522"
"543","95NN22W1","Cars","Total","Licensed","1843"
"544","95NN23S1","Cars","Total","Licensed","1081"
"545","95NN23S2","Cars","Total","Licensed","1138"
"546","95OO01W1","Cars","Total","Licensed","1700"
